rank,benchmark_name,provider,model,source_rows,initial_bankroll,final_equity,mark_pnl,return_pct,event_max_drawdown,survival_state,positions_opened,positions_closed,open_positions,resolutions_loaded,market_echo_share_1bp,actionable_rows,baseline_equity,baseline_return_pct,pnl_vs_baseline,return_vs_baseline,readiness_decision,risk_flags,manifest_path
1,rule_baseline_100,rule_baseline,rule_baseline_midpoint,100,50.0,50.0,0.0,0.0,0.0,ALIVE,0,0,0,0,1.0,0,50.0,0.0,0.0,0.0,NO_LIVE_TRADING,no_trades;no_closed_trades;market_echo,data/forecasts/rule_baseline_100/latest_benchmark_manifest.json
2,next_model_blind_100,agy,Gemini 3.5 Flash High via agy blind,100,50.0,46.07135674680741,-3.9286432531925897,-0.07857286506385179,0.09428409946385187,ALIVE,9,0,9,0,0.0,53,50.0,0.0,-3.9286432531925897,-0.07857286506385179,NO_LIVE_TRADING,loss_vs_initial;under_baseline;open_positions;no_closed_trades;no_official_resolutions,data/forecasts/next_model_blind_100/latest_benchmark_manifest.json
3,next_model_blind_100_exit_edge,agy,Gemini 3.5 Flash High via agy blind exit_edge_0.08,100,50.0,46.07135674680741,-3.9286432531925897,-0.07857286506385179,0.09428409946385187,ALIVE,9,0,9,0,0.0,53,50.0,0.0,-3.9286432531925897,-0.07857286506385179,NO_LIVE_TRADING,loss_vs_initial;under_baseline;open_positions;no_closed_trades;no_official_resolutions,data/forecasts/next_model_blind_100_exit_edge/latest_benchmark_manifest.json
4,next_model_blind_100_official_resolution_check,agy,Gemini 3.5 Flash High via agy blind official_resolution_check,100,50.0,46.07135674680741,-3.9286432531925897,-0.07857286506385179,0.09428409946385187,ALIVE,9,0,9,0,0.0,53,50.0,0.0,-3.9286432531925897,-0.07857286506385179,NO_LIVE_TRADING,loss_vs_initial;under_baseline;open_positions;no_closed_trades;no_official_resolutions,data/forecasts/next_model_blind_100_official_resolution_check/latest_benchmark_manifest.json
5,next_model_blind_100_forced_exit,agy,Gemini 3.5 Flash High via agy blind forced_exit,100,50.0,44.69049960178927,-5.30950039821073,-0.1061900079642146,0.12232110137700573,ALIVE,29,25,4,0,0.0,53,50.0,0.0,-5.30950039821073,-0.1061900079642146,NO_LIVE_TRADING,loss_vs_initial;under_baseline;open_positions;no_official_resolutions,data/forecasts/next_model_blind_100_forced_exit/latest_benchmark_manifest.json
